Internal Page Name			Page Config Namespace			AspNet Page Namespace		URL Schema

Home						???								Roblox.MyHome				/home
Games						???								???							/games?keyword={System.String}&session={System.Guid}
GameDetail					Roblox.GameDetail				Roblox.GameDetail			/games/{System.Int64}/{System.String}
Create Group				???								???							/groups/create
Create						Roblox.BuildPage				Roblox.Build 				/develop?View={System.Byte}
???							Roblox.UniverseConfigurePage	???							/universes/configure?id={System.Int64}
???							???								???							/places/{System.Int64}/update
???							Roblox.MyItem					???							/My/Item.aspx?ID={System.Int32}
LibraryItemConfiguration	???								???							/library/configure?id={System.Int64}
CreateUserAd				???								???							/user-ads/create?targetId={System.Int64}&targetType={System.Enum}
NativeAdsList				???								???							/sponsored-games/list
???							Roblox.EmbeddedUpload			???							/build/upload?AssetTypeId={System.Byte}&GroupId={System.Int64}&errorType={System.Byte}&errorIndex={System.Byte}&errorAssetTypeId={System.Byte}
Catalog						???								Roblox.Catalog				/catalog?Keyword={System.String}&Category={System.Byte}&Genres={System.Byte}&CreatorID={System.Int64}&CurrencyType={System.Byte}&pxMin={System.Int32}&pxMax={System.Int32}&SortType={System.Byte}&SortAggregation={System.Byte}&IncludeNotForSale={System.Boolean}
CatalogItem					???								Roblox.Item					/catalog/{System.Int64}/{System.String}
LibraryItem					???								Roblox.Item					/library/{System.Int64}/{System.String}
Profile						???								Roblox.Profile				/users/{System.Int64}/profile
Favorites					???								???							/users/{System.Int64}/favorites
Inventory					???								???							/users/{System.Int64}/inventory
???							???								???							/info/roblox-badges
Avatar						???								Roblox.MyCharacter			/my/avatar
???							???								???							/transactions
GroupDetails				???								???							/groups/{System.Int64}/{System.String}
GroupSearch					???								Roblox.Browse				/search/groups?keyword={System.String}
???							???								???							/feeds
PremiumSubscriptions		???								???							/premium/membership
PremiumRobux				???								???							/upgrades/robux?ctx={System.String}
Messages					???								???							/my/messages
Settings					???								???							/my/account
???							???								???							/AbuseReport/asset?ID={System.Int64}&RedirectUrl={System.String}
???							???								???							/AbuseReport/message?ID={System.Int64}&RedirectUrl={System.String}
???							???								???							/AbuseReport/groupwallpost?ID={System.Int64}&RedirectUrl={System.String}
PlayerSearch				???								Roblox.Browse				/search/users?keyword={System.String}
Friends						???								???							/users/{System.Int64?}/friends
Landing						???								???							/
Landing						???								???							/account/signupredir
Login						???								???							/login
ForgotCredentials			???								???							/login/forgot-password-or-username
???							???								???							/login/twostepverification?returnUrl={System.String}&tl={System.Guid}&username={System.String}
